aee,alignment,artifact_id,error_map_png,eval_index,event_end,event_end_time,event_start,event_start_time,gt_flow_png,image_end_index,image_start_index,image_stride,method,metric_scope,next_image_png,outlier_count,outlier_percent,pred_flow_npz,pred_flow_png,prev_image_png,sensor_height,sensor_width,sequence,source_flow,source_h5,source_image_h5,target_height,target_width,valid_count,window_index
2.2381389141082764,matrixlstm_image_pair,sample_0360_indoor_flying1_window_360_image_369_stride_1,baseline/artifacts/event_frame/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/error_map.png,360,2598638,1504645189.2051933,2588257,1504645189.1733334,baseline/artifacts/event_frame/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/gt_flow.png,369,368,1,event_frame,evflownet_official,baseline/artifacts/event_frame/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/next_image.png,1695,23.54493679677733,baseline/artifacts/event_frame/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/pred_flow.npz,baseline/artifacts/event_frame/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/pred_flow.png,baseline/artifacts/event_frame/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,7199,360
1.7111263275146484,matrixlstm_image_pair,sample_0000_indoor_flying1_window_0_image_9_stride_1,baseline/artifacts/binary_event_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/error_map.png,0,1739,1504645177.7358222,1558,1504645177.7039623,baseline/artifacts/binary_event_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/gt_flow.png,9,8,1,binary_event_image,evflownet_official,baseline/artifacts/binary_event_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/next_image.png,3,16.666666666666668,baseline/artifacts/binary_event_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/pred_flow.npz,baseline/artifacts/binary_event_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/pred_flow.png,baseline/artifacts/binary_event_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,18,0
2.4427011013031006,matrixlstm_image_pair,sample_0120_indoor_flying1_window_120_image_129_stride_1,baseline/artifacts/binary_event_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/error_map.png,120,440743,1504645181.5589454,423390,1504645181.5270863,baseline/artifacts/binary_event_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/gt_flow.png,129,128,1,binary_event_image,evflownet_official,baseline/artifacts/binary_event_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/next_image.png,896,25.6,baseline/artifacts/binary_event_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/pred_flow.npz,baseline/artifacts/binary_event_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/pred_flow.png,baseline/artifacts/binary_event_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,3500,120
1.8090934753417969,matrixlstm_image_pair,sample_0360_indoor_flying1_window_360_image_369_stride_1,baseline/artifacts/binary_event_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/error_map.png,360,2598638,1504645189.2051933,2588257,1504645189.1733334,baseline/artifacts/binary_event_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/gt_flow.png,369,368,1,binary_event_image,evflownet_official,baseline/artifacts/binary_event_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/next_image.png,1550,21.530768162244755,baseline/artifacts/binary_event_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/pred_flow.npz,baseline/artifacts/binary_event_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/pred_flow.png,baseline/artifacts/binary_event_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,7199,360
1.9113837480545044,matrixlstm_image_pair,sample_0000_indoor_flying1_window_0_image_9_stride_1,baseline/artifacts/timestamp_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/error_map.png,0,1739,1504645177.7358222,1558,1504645177.7039623,baseline/artifacts/timestamp_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/gt_flow.png,9,8,1,timestamp_image,evflownet_official,baseline/artifacts/timestamp_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/next_image.png,4,22.22222222222222,baseline/artifacts/timestamp_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/pred_flow.npz,baseline/artifacts/timestamp_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/pred_flow.png,baseline/artifacts/timestamp_image/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,18,0
2.51914119720459,matrixlstm_image_pair,sample_0120_indoor_flying1_window_120_image_129_stride_1,baseline/artifacts/timestamp_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/error_map.png,120,440743,1504645181.5589454,423390,1504645181.5270863,baseline/artifacts/timestamp_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/gt_flow.png,129,128,1,timestamp_image,evflownet_official,baseline/artifacts/timestamp_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/next_image.png,855,24.428571428571427,baseline/artifacts/timestamp_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/pred_flow.npz,baseline/artifacts/timestamp_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/pred_flow.png,baseline/artifacts/timestamp_image/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,3500,120
2.49263072013855,matrixlstm_image_pair,sample_0360_indoor_flying1_window_360_image_369_stride_1,baseline/artifacts/timestamp_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/error_map.png,360,2598638,1504645189.2051933,2588257,1504645189.1733334,baseline/artifacts/timestamp_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/gt_flow.png,369,368,1,timestamp_image,evflownet_official,baseline/artifacts/timestamp_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/next_image.png,1893,26.295318794276984,baseline/artifacts/timestamp_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/pred_flow.npz,baseline/artifacts/timestamp_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/pred_flow.png,baseline/artifacts/timestamp_image/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,7199,360
1.8385401964187622,matrixlstm_image_pair,sample_0000_indoor_flying1_window_0_image_9_stride_1,baseline/artifacts/time_surface/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/error_map.png,0,1739,1504645177.7358222,1558,1504645177.7039623,baseline/artifacts/time_surface/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/gt_flow.png,9,8,1,time_surface,evflownet_official,baseline/artifacts/time_surface/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/next_image.png,4,22.22222222222222,baseline/artifacts/time_surface/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/pred_flow.npz,baseline/artifacts/time_surface/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/pred_flow.png,baseline/artifacts/time_surface/inference/sample_0000_indoor_flying1_window_0_image_9_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,18,0
2.3279354572296143,matrixlstm_image_pair,sample_0120_indoor_flying1_window_120_image_129_stride_1,baseline/artifacts/time_surface/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/error_map.png,120,440743,1504645181.5589454,423390,1504645181.5270863,baseline/artifacts/time_surface/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/gt_flow.png,129,128,1,time_surface,evflownet_official,baseline/artifacts/time_surface/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/next_image.png,642,18.34285714285714,baseline/artifacts/time_surface/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/pred_flow.npz,baseline/artifacts/time_surface/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/pred_flow.png,baseline/artifacts/time_surface/inference/sample_0120_indoor_flying1_window_120_image_129_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,3500,120
2.452751636505127,matrixlstm_image_pair,sample_0360_indoor_flying1_window_360_image_369_stride_1,baseline/artifacts/time_surface/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/error_map.png,360,2598638,1504645189.2051933,2588257,1504645189.1733334,baseline/artifacts/time_surface/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/gt_flow.png,369,368,1,time_surface,evflownet_official,baseline/artifacts/time_surface/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/next_image.png,2083,28.934574246423114,baseline/artifacts/time_surface/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/pred_flow.npz,baseline/artifacts/time_surface/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/pred_flow.png,baseline/artifacts/time_surface/inference/sample_0360_indoor_flying1_window_360_image_369_stride_1/prev_image.png,260,346,indoor_flying1,DATA_ROOT/indoor_flying/indoor_flying1_gt_flow_full.npz,DATA_ROOT/indoor_flying/indoor_flying1_left_events_6m.h5,DATA_ROOT/indoor_flying/indoor_flying1_left_images_full.h5,256,256,7199,360
